"|","|__i","|__lc","|__m","|__n","|__sc","|__ri","|__rm","|__rn","|__t","|__time"
"1532122743964","113638270005391611670","","hyderabad ","Shiva Shiva","","","","","21 Jul 03:09 AM","1532122743964"
"1532131198079","114632999131503215334","1","ambernath","Swarna Latha D Souza","","","","","21 Jul 05:29 AM","1532131198079"
"1532131266097","104750010867231698502","2","can any1 confirm, 5.24 kasara train reached to wch station","Manisha Patel","","","","","21 Jul 05:31 AM","1532131266097"
"1532131416055","115563380552246274654","1","centaral railway local running status","RAM KUMAR SAH","","","","","21 Jul 05:33 AM","1532131416055"
"1532131466433","107067243959933543695","","kote ahe nadigarm ex ","Baburao Dhotre","","","","","21 Jul 05:34 AM","1532131466433"
"1532132547967","108419244559075508369","1","fast train from karjat ? (sent from Dombivli Stn.)","Ume Sb30","","","","","21 Jul 05:52 AM","1532132547967"
"1532132901867","108419244559075508369","","where is the train (sent from Dombivli Stn.)","Ume Sb30","","108419244559075508369","fast train from karjat ? (sent from Dombivli Stn.)","Ume Sb30","21 Jul 05:58 AM","1532132901867"
"1532132973163","105202750000013170402","1","Central train status","Suresh Tiwari","","","","","21 Jul 05:59 AM","1532132973163"
"1532133666572","106589626116496716252","","anybody knows where khopoli fast is? (sent from Ambernath Stn.)","J J","","","","","21 Jul 06:11 AM","1532133666572"
"1532133671988","109090140498501449564","","6:12 CSTM fast late again (sent from Kalyan Stn.)","Sandip Patil","","","","","21 Jul 06:11 AM","1532133671988"
"1532133710313","109090140498501449564","","u mean khopoli to kasara ? (sent from Kalyan Stn.)","Sandip Patil","","106589626116496716252","anybody knows where khopoli fast is? (sent from Ambernath Stn.)","J J","21 Jul 06:11 AM","1532133710313"
"1532133730928","107319667665889256944","","is there any fast train on the way to dom?? (sent from Dombivli Stn.)","Abhijeet Poojary","","","","","21 Jul 06:12 AM","1532133730928"
"1532133741446","107319667665889256944","","please reply asap (sent from Dombivli Stn.)","Abhijeet Poojary","","","","","21 Jul 06:12 AM","1532133741446"
"1532133750298","106589626116496716252","","there is no train for khopoli to kasara what i meant was khopoli to cstm","J J","","109090140498501449564","u mean khopoli to kasara ? (sent from Kalyan Stn.)","Sandip Patil","21 Jul 06:12 AM","1532133750298"
"1532133775772","107319667665889256944","","bro is there any fast train coming from kalyan? (sent from Dombivli Stn.)","Abhijeet Poojary","","109090140498501449564","u mean khopoli to kasara ? (sent from Kalyan Stn.)","Sandip Patil","21 Jul 06:12 AM","1532133775772"
"1532133782876","114191044797986906702","","where is a train in kalyan stn 6.12 (sent from Shahad)","sandesh vinerkar","","","","","21 Jul 06:13 AM","1532133782876"
"1532133784731","109090140498501449564","","sorry khopoli to Cst (sent from Kalyan Stn.)","Sandip Patil","","106589626116496716252","there is no train for khopoli to kasara what i meant was khopoli to cstm","J J","21 Jul 06:13 AM","1532133784731"
"1532133796382","106589626116496716252","","yes😃 (sent from Ulhas Nagar)","J J","","109090140498501449564","sorry khopoli to Cst (sent from Kalyan Stn.)","Sandip Patil","21 Jul 06:13 AM","1532133796382"
"1532133815191","106589626116496716252","","yes  (sent from Ulhas Nagar)","J J","","107319667665889256944","bro is there any fast train coming from kalyan? (sent from Dombivli Stn.)","Abhijeet Poojary","21 Jul 06:13 AM","1532133815191"
"1532133822980","107319667665889256944","","fast train h kya bhai? (sent from Dombivli Stn.)","Abhijeet Poojary","","106589626116496716252","yes😃 (sent from Ulhas Nagar)","J J","21 Jul 06:13 AM","1532133822980"
"1532133836671","106589626116496716252","","ha hai aari hai wait krle thoda (sent from Ambernath Stn.)","J J","","107319667665889256944","fast train h kya bhai? (sent from Dombivli Stn.)","Abhijeet Poojary","21 Jul 06:13 AM","1532133836671"
"1532133854084","107319667665889256944","","kaha pe hai abi train? (sent from Dombivli Stn.)","Abhijeet Poojary","","106589626116496716252","ha hai aari hai wait krle thoda (sent from Ambernath Stn.)","J J","21 Jul 06:14 AM","1532133854084"
"1532133891494","114191044797986906702","","fast reply (sent from Vithalwadi)","sandesh vinerkar","","","","","21 Jul 06:14 AM","1532133891494"
"1532133904902","109090140498501449564","","6:12cst fast running late .. announced at Kalyan (sent from Kalyan Stn.)","Sandip Patil","","","","","21 Jul 06:15 AM","1532133904902"
"1532133915842","106589626116496716252","","ulhas (sent from Ambernath Stn.)","J J","","107319667665889256944","kaha pe hai abi train? (sent from Dombivli Stn.)","Abhijeet Poojary","21 Jul 06:15 AM","1532133915842"
"1532133963967","106589626116496716252","","15 mins late train from khopoli to csmt  (sent from Ambernath Stn.)","J J","","","","","21 Jul 06:16 AM","1532133963967"
"1532134041622","116534719444446017632","","Khopoli tren kahape hii","sandesh kalbhor","","","","","21 Jul 06:17 AM","1532134041622"
"1532134210528","112070715155351603878","","Where is the khopoli cstm train?  (sent from Kalyan Stn.)","Aakash Rachh","","","","","21 Jul 06:20 AM","1532134210528"
"1532134281592","114191044797986906702","","kaha pe hai kalyan 6:12 chi train  (sent from Kalyan Stn.)","sandesh vinerkar","","","","","21 Jul 06:21 AM","1532134281592"
"1532134578011","111434789320597950436","","6:24 train on time from shahad (sent from Shahad Stn.)","akshay raichandani","","","","","21 Jul 06:26 AM","1532134578011"
"1532134630990","112070715155351603878","","6:12 khopoli fast to cstm just arrived (kalyan) (sent from Kalyan Stn.)","Aakash Rachh","","","","","21 Jul 06:27 AM","1532134630990"
"1532134913463","112894370020260664055","","good morning... (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:31 AM","1532134913463"
"1532134928389","112894370020260664055","1","6.27 KALYAN slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:32 AM","1532134928389"
"1532134930601","117011865853200946385","","Titwala se 5:35 am wali train Abhi nahur ayegi (sent from Mulund)","CHARANJEET SINGH","","","","","21 Jul 06:32 AM","1532134930601"
"1532135137026","112894370020260664055","","6.35 AMBARNATH slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:35 AM","1532135137026"
"1532135294712","112894370020260664055","","6.39 KALYAN slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:38 AM","1532135294712"
"1532135295092","103051242031823887532","","is 6.43 train at kalyan from badlapur on time.????...shud be near ulhasnagara by now??? (sent from Kalyan Stn.)","Anagha Nagarale","","","","","21 Jul 06:38 AM","1532135295092"
"1532135370292","112894370020260664055","","6.28 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:39 AM","1532135370292"
"1532135428331","112894370020260664055","","6.31 CSMT fast local train let by 10 se15 minutes..... (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:40 AM","1532135428331"
"1532135578189","112894370020260664055","","6.36 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:42 AM","1532135578189"
"1532135872823","112894370020260664055","","6.46 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:47 AM","1532135872823"
"1532135978170","112894370020260664055","","6.46 KALYAN fast local train arrived on plf no 5 (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:49 AM","1532135978170"
"1532136036081","112894370020260664055","","6.51 KALYAN slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:50 AM","1532136036081"
"1532136142594","100725665539287107784","","6 51 cst fast will reach dombivli (sent from Kalyan Stn.)","Meghna Majethia","","","","","21 Jul 06:52 AM","1532136142594"
